symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2018-08-21 00:00:00+00:00,145.97,147.12,145.89,147.0,3106876,111.8743291663,112.7557121802,111.8130155653,112.6637417787,3249792,0.0,1.0
IBM,2018-08-22 00:00:00+00:00,145.24,146.16,145.19,146.01,2388961,111.3148425574,112.0199489686,111.2765215568,111.9049859667,2498853,0.0,1.0
IBM,2018-08-23 00:00:00+00:00,145.37,145.52,144.75,145.04,2220603,111.414477159,111.5294401608,110.9392967515,111.161558555,2322750,0.0,1.0
IBM,2018-08-24 00:00:00+00:00,146.04,146.09,144.87,145.46,2776813,111.9279785671,111.9662995677,111.0312671529,111.4834549601,2904546,0.0,1.0
IBM,2018-08-27 00:00:00+00:00,146.69,147.62,146.52,146.94,3491565,112.426151575,113.1389221862,112.2958601729,112.617756578,3652176,0.0,1.0
IBM,2018-08-28 00:00:00+00:00,146.59,146.99,146.19,146.95,2455328,112.3495095738,112.6560775786,112.0429415689,112.6254207781,2568273,0.0,1.0
IBM,2018-08-29 00:00:00+00:00,147.54,147.93,146.6,146.87,3153845,113.0776085852,113.37651239,112.3571737739,112.5641071771,3298921,0.0,1.0
IBM,2018-08-30 00:00:00+00:00,145.93,147.3,145.25,147.03,3340369,111.8436723658,112.8936677823,111.3225067575,112.6867343791,3494025,0.0,1.0
IBM,2018-08-31 00:00:00+00:00,146.48,146.78,145.54,145.72,3488476,112.2652033724,112.4951293761,111.544768561,111.6827241632,3648945,0.0,1.0
IBM,2018-09-04 00:00:00+00:00,145.68,146.19,144.81,145.98,3326153,111.6520673627,112.0429415689,110.9852819522,111.8819933664,3479156,0.0,1.0
IBM,2018-09-05 00:00:00+00:00,146.66,146.75,145.05,145.19,3126540,112.4031589746,112.4721367757,111.1692227551,111.2765215568,3270360,0.0,1.0
IBM,2018-09-06 00:00:00+00:00,146.39,147.66,145.54,146.88,4248831,112.1962255713,113.1695789867,111.544768561,112.5717713773,4444277,0.0,1.0
IBM,2018-09-07 00:00:00+00:00,145.45,146.5,145.12,145.94,4693127,111.47579076,112.2805317727,111.222872156,111.8513365659,4909010,0.0,1.0
IBM,2018-09-10 00:00:00+00:00,145.65,147.3,145.56,146.6,3618209,111.6290747624,112.8936677823,111.5600969613,112.3571737739,3784646,0.0,1.0
IBM,2018-09-11 00:00:00+00:00,146.49,146.99,145.25,146.0,3374774,112.2728675725,112.6560775786,111.3225067575,111.8973217666,3530013,0.0,1.0
IBM,2018-09-12 00:00:00+00:00,146.57,147.98,146.03,146.37,4506679,112.3341811735,113.4148333906,111.920314367,112.1808971711,4713986,0.0,1.0
IBM,2018-09-13 00:00:00+00:00,148.95,149.0,147.12,147.35,5346540,114.1582608023,114.1965818029,112.7557121802,112.931988783,5592480,0.0,1.0
IBM,2018-09-14 00:00:00+00:00,148.33,149.3,147.78,148.85,3452144,113.6830803948,114.4265078065,113.2615493882,114.0816188011,3610942,0.0,1.0
IBM,2018-09-17 00:00:00+00:00,147.94,149.07,147.77,148.44,3551882,113.3841765901,114.2502312038,113.253885188,113.7673865961,3715268,0.0,1.0
IBM,2018-09-18 00:00:00+00:00,148.56,148.99,147.47,147.76,3629596,113.8593569976,114.1889176028,113.0239591844,113.2462209879,3796557,0.0,1.0
IBM,2018-09-19 00:00:00+00:00,149.06,149.96,148.23,148.63,4246382,114.2425670036,114.9323450145,113.6064383936,113.9130063984,4441715,0.0,1.0
IBM,2018-09-20 00:00:00+00:00,151.15,151.38,149.44,149.58,5952223,115.8443848289,116.0206614317,114.5338066082,114.6411054099,6226025,0.0,1.0
IBM,2018-09-21 00:00:00+00:00,151.35,152.6,150.74,151.48,19947878,115.9976688313,116.9556938465,115.530152624,116.0973034329,20865480,0.0,1.0
IBM,2018-09-24 00:00:00+00:00,150.03,151.2,149.46,151.1,4264984,114.9859944154,115.8827058295,114.5491350085,115.8060638283,4461173,0.0,1.0
IBM,2018-09-25 00:00:00+00:00,148.91,150.41,148.36,149.91,4397457,114.1276040018,115.27723402,113.7060729952,114.8940240139,4599740,0.0,1.0
IBM,2018-09-26 00:00:00+00:00,151.61,153.35,151.34,152.4,7401862,116.1969380345,117.5305088556,115.9900046312,116.8024098441,7742347,0.0,1.0
IBM,2018-09-27 00:00:00+00:00,151.5,152.39,151.16,152.01,3477643,116.1126318332,116.7947456439,115.8520490291,116.5035060393,3637614,0.0,1.0
IBM,2018-09-28 00:00:00+00:00,151.21,151.63,150.79,151.16,3305798,115.8903700297,116.2122664347,115.5684736246,115.8520490291,3457864,0.0,1.0
IBM,2018-10-01 00:00:00+00:00,153.0,153.42,151.71,151.71,3757419,117.2622618513,117.5841582564,116.2735800357,116.2735800357,3930260,0.0,1.0
IBM,2018-10-02 00:00:00+00:00,153.75,153.84,152.5,152.99,3030125,117.8370768604,117.9060546615,116.8790518453,117.2545976512,3169510,0.0,1.0
IBM,2018-10-03 00:00:00+00:00,153.22,154.36,152.8,154.0,3315298,117.430874254,118.3045930678,117.1089778489,118.0286818634,3467801,0.0,1.0
IBM,2018-10-04 00:00:00+00:00,151.31,152.8,150.36,151.69,4238143,115.9670120309,117.1089778489,115.2389130194,116.2582516355,4433097,0.0,1.0
